x_sim, y_sim, e_x_sim, e_y_sim, error_sim, x_real, y_real, e_x_real, e_y_real, error_real
1159.2, 30.6, 1137.5411691583029, 7.474515610290362, 31.6842702565162, 8.4223125, 0.28985, 8.264947557165794, 0.07080027286413926, 0.2697156061326599
1158.4, 31.200000000000003, 1172.2060278193248, 21.232341932260024, 17.028229840572124, 8.416500000000001, 0.29553333333333337, 8.516809420874782, 0.20111746108057413, 0.13775462551030143
1157.6000000000001, 31.8, 1162.2313145507446, 20.54303294031119, 12.172443544780014, 8.410687500000002, 0.3012166666666667, 8.444336894782754, 0.19458817312905877, 0.1118119734346248
1156.8000000000002, 32.4, 1161.559721864734, 21.33069533993351, 12.04925134134876, 8.404875000000002, 0.3069, 8.43945735417346, 0.20204908641437017, 0.11040676292655104
1156.0000000000002, 33.0, 1160.028522720057, 4.464211304492175, 28.818747921807535, 8.399062500000003, 0.3125833333333333, 8.428332235387915, 0.04228600152310644, 0.27187748158574343
1155.2000000000003, 33.6, 1149.7664093644555, 2.16668447938471, 31.899486387922202, 8.393250000000004, 0.3182666666666667, 8.353771568038622, 0.02052331687417184, 0.30034921164502054
1154.4000000000003, 34.2, 1172.4115510158917, 35.739044059646055, 18.077185251459678, 8.387437500000003, 0.32395, 8.51830267534984, 0.3385281673427585, 0.13167466378319428
1153.6000000000004, 34.800000000000004, 1146.9989970665392, 32.01438696656294, 7.164696762572504, 8.381625000000003, 0.3296333333333334, 8.333664588061575, 0.30324738765549897, 0.05473955829760905
1152.8000000000004, 35.400000000000006, 1155.1100077053745, 51.429166663003436, 16.194762101038357, 8.375812500000004, 0.33531666666666676, 8.392596149734363, 0.4871484953356715, 0.15275665319513798
1152.0000000000005, 36.0, 1145.1433007101166, 31.929643211779577, 7.973840325420741, 8.370000000000005, 0.341, 8.320181794221941, 0.3024446759782455, 0.06299497311189148
1151.2000000000005, 36.599999999999994, 1136.245736590943, 21.891418798615884, 20.97551799277408, 8.364187500000003, 0.3466833333333333, 8.25553542991857, 0.2073603836202227, 0.17668094591591543
1150.4000000000005, 37.19999999999999, 1137.3548504408539, 22.77495517280003, 19.44885203006166, 8.358375000000006, 0.35236666666666655, 8.263593835234328, 0.2157294364979114, 0.16629251896140107
1149.6000000000006, 37.79999999999998, 1157.1138525001982, 32.794483574804694, 9.028464657826664, 8.352562500000005, 0.3580499999999998, 8.407155334571753, 0.3106366360835667, 0.07230770819525661
1148.8000000000006, 38.39999999999998, 1144.498236107934, 39.80036827454539, 4.5239588733146014, 8.346750000000005, 0.36373333333333313, 8.315494996721707, 0.3769979328227772, 0.03395327420944554
1148.0000000000007, 38.99999999999997, 1144.2463830626477, 40.33448603427448, 3.9837787448673145, 8.340937500000006, 0.3694166666666664, 8.31366512693955, 0.3820572149357666, 0.030059371132678488
1147.2000000000007, 39.599999999999966, 1129.8751471633434, 44.5457663099942, 18.016967841590535, 8.335125000000007, 0.3750999999999997, 8.209249116108667, 0.4219473975474451, 0.134310896067275
1146.4000000000008, 40.19999999999996, 1159.080200945842, 72.18276737530626, 34.40472213243222, 8.329312500000006, 0.380783333333333, 8.421442084997135, 0.6837312131938732, 0.316646930103135
1145.6000000000008, 40.799999999999955, 1146.4644193973227, 73.55691062877308, 32.768314189715284, 8.323500000000006, 0.38646666666666624, 8.329780547183672, 0.6967474034558784, 0.3103442941240947
1144.8000000000009, 41.39999999999995, 1137.044799570429, 58.22220081235942, 18.52375701293288, 8.317687500000007, 0.39214999999999955, 8.261341121878898, 0.5514936243615156, 0.16901273606456685
1144.000000000001, 41.99999999999994, 1150.3802603213614, 49.272681048606444, 9.674689214806222, 8.311875000000008, 0.39783333333333276, 8.358231578897392, 0.4667217843770777, 0.08303343359319712
1143.200000000001, 42.59999999999994, 1147.4426500674585, 32.07656987527736, 11.346482326466498, 8.306062500000007, 0.4035166666666661, 8.336888004396378, 0.30383639798526607, 0.10433775771831996
1142.400000000001, 43.19999999999993, 1127.192897789236, 23.033721366457456, 25.257370242650477, 8.300250000000009, 0.4091999999999994, 8.189760897999918, 0.21818052738783314, 0.22067233759086508
1141.600000000001, 43.799999999999926, 1156.1741918010073, 68.75837473933329, 28.902033428143273, 8.294437500000008, 0.41488333333333266, 8.400328112304194, 0.6512946051697959, 0.25904268224655497
1140.800000000001, 44.39999999999992, 1136.124591885244, 48.35490683777496, 6.1237838902933825, 8.288625000000009, 0.4205666666666659, 8.254655237916227, 0.4580284231022573, 0.05057002997100465
1140.0000000000011, 44.999999999999915, 1131.7264743376518, 69.02372188179346, 25.408471814324443, 8.28281250000001, 0.4262499999999992, 8.222700165109503, 0.6538080322692104, 0.23536386905432993
1139.2000000000012, 45.59999999999991, 1146.227094474808, 34.85331952965297, 12.840217984504616, 8.27700000000001, 0.4319333333333325, 8.328056233293527, 0.33013838776699067, 0.11388129741523198
1138.4000000000012, 46.1999999999999, 1126.189443006876, 37.86600806545294, 14.783542324066094, 8.271187500000009, 0.4376166666666658, 8.182470171846834, 0.3586752430644292, 0.1187540006693916
1137.6000000000013, 46.7999999999999, 1141.9721890370643, 34.34928423823756, 13.196073656812121, 8.26537500000001, 0.44329999999999903, 8.29714168597242, 0.3253640534788613, 0.1221393049738961
1136.8000000000013, 47.39999999999989, 1119.819110212256, 49.85224576159838, 17.157043080287238, 8.25956250000001, 0.44898333333333235, 8.136185722635924, 0.4722115501306958, 0.12554433180487543
